"replicate","posterior_draw_index","budget","selected_proposal","selected_reviewer","baseline_A_loss","current_A_loss","absolute_A_reduction","drawwise_percent_reduction"
4,3524,4,"P003","R02",0.0424781480769821,0.0423761643654432,0.000101983711538967,0.24008511706806
4,3524,5,"P004","R02",0.0424781480769821,0.042350503597467,0.000127644479515181,0.300494454899149
4,3524,6,"P025","R04",0.0424781480769821,0.04232501154731,0.000153136529672124,0.360506605407086
5,4762,1,"P014","R04",0.204331849379554,0.203841086798085,0.000490762581469545,0.240179190351248
5,4762,2,"P008","R07",0.204331849379554,0.203351223230323,0.000980626149231528,0.479918403425194
5,4762,3,"P012","R04",0.204331849379554,0.202863418031369,0.001468431348185,0.71865025087564
5,4762,4,"P039","R06",0.204331849379554,0.202373471647352,0.00195837773220178,0.958429994221812
5,4762,5,"P002","R06",0.204331849379554,0.201880486244952,0.00245136313460192,1.19969703305941
5,4762,6,"P025","R03",0.204331849379554,0.201385799775061,0.00294604960449305,1.44179657426809
6,2863,1,"P038","R02",0.183500982746369,0.183097255656537,0.00040372708983194,0.220013584553911
6,2863,2,"P036","R06",0.183500982746369,0.182694086162154,0.00080689658421465,0.439723304005367
6,2863,3,"P015","R09",0.183500982746369,0.18229053707696,0.00121044566940828,0.65963988382631
6,2863,4,"P020","R02",0.183500982746369,0.181886615970895,0.00161436677547397,0.879759198731548
6,2863,5,"P030","R03",0.183500982746369,0.181483208785841,0.00201777396052782,1.09959844919019
6,2863,6,"P014","R08",0.183500982746369,0.181080331771972,0.00242065097439653,1.31914877956938
7,4121,1,"P024","R02",0.232213800849414,0.231338401774508,0.000875399074906302,0.376979779713429
7,4121,2,"P014","R03",0.232213800849414,0.230472501645996,0.00174129920341792,0.749868955698771
7,4121,3,"P016","R09",0.232213800849414,0.22960196042028,0.00261184042913418,1.1247567627679
7,4121,4,"P030","R09",0.232213800849414,0.228730915177019,0.00348288567239513,1.49986161875612
7,4121,5,"P034","R05",0.232213800849414,0.22785587514251,0.00435792570690388,1.87668678216499
7,4121,6,"P036","R09",0.232213800849414,0.226979616637696,0.00523418421171837,2.25403666473408
8,1542,1,"P040","R05",0.0933958692892972,0.093278553629481,0.000117315659816195,0.125611186778298
8,1542,2,"P014","R05",0.0933958692892972,0.0931611493705956,0.000234719918701679,0.251317237569281
8,1542,3,"P027","R02",0.0933958692892972,0.0930433767013418,0.000352492587955458,0.377417749454849
8,1542,4,"P020","R06",0.0933958692892972,0.09292628999278,0.000469579296517239,0.502783795568838
8,1542,5,"P009","R02",0.0933958692892972,0.0928084246029649,0.000587444686332303,0.628983584394585
8,1542,6,"P010","R05",0.0933958692892972,0.0926908410592313,0.000705028230065907,0.75488159747414
9,3117,1,"P004","R08",0.000979327936043553,0.000979317012842116,1.09232014364625e-08,0.0011153772944119
9,3117,2,"P017","R08",0.000979327936043553,0.000979306079271755,2.18567717980445e-08,0.00223181336849687
9,3117,3,"P039","R02",0.000979327936043553,0.00097929510837873,3.28276648225989e-08,0.00335206049111817
9,3117,4,"P018","R03",0.000979327936043553,0.000979284155313468,4.37807300846665e-08,0.00447048720590357
9,3117,5,"P038","R01",0.000979327936043553,0.000979273242958776,5.46930847770532e-08,0.00558475693014652
9,3117,6,"P031","R08",0.000979327936043553,0.00097926229945152,6.5636592032391e-08,0.0067022076688183
10,267,1,"P029","R01",0.161608997164907,0.161280677702375,0.000328319462532256,0.203156673385725
10,267,2,"P021","R04",0.161608997164907,0.160951521288392,0.000657475876515157,0.406831233439474
10,267,3,"P002","R01",0.161608997164907,0.160623035358552,0.000985961806355684,0.610090913038462
10,267,4,"P042","R07",0.161608997164907,0.160293445496428,0.00131555166847877,0.814033681018619
10,267,5,"P017","R04",0.161608997164907,0.15996409854103,0.00164489862387684,1.01782614379964
10,267,6,"P022","R08",0.161608997164907,0.159635670262705,0.00197332690220248,1.22105014994238
11,2711,1,"P014","R06",0.00212702756685699,0.00212696234224819,6.52246087938513e-08,0.003066467487783
11,2711,2,"P035","R06",0.00212702756685699,0.00212689684584597,1.30721011013576e-07,0.00614571306223062
11,2711,3,"P029","R07",0.00212702756685699,0.00212683077199296,1.9679486402838e-07,0.00925210688826075
11,2711,4,"P037","R05",0.00212702756685699,0.00212676527779492,2.62289062069859e-07,0.012331248835549
11,2711,5,"P015","R04",0.00212702756685699,0.00212669955039288,3.28016464106948e-07,0.0154213546273706
11,2711,6,"P016","R02",0.00212702756685699,0.00212663348265867,3.940841983123e-07,0.0185274607839061
12,3065,1,"P021","R01",0.0885023296087232,0.0883927231608221,0.000109606447901131,0.123845833647217
12,3065,2,"P005","R07",0.0885023296087232,0.088283057551525,0.000219272057198266,0.247758514569829
12,3065,3,"P015","R05",0.0885023296087232,0.088173418649565,0.000328910959158268,0.371641018504726
12,3065,4,"P003","R07",0.0885023296087232,0.0880637468438384,0.000438582764884857,0.495560700858238
12,3065,5,"P040","R03",0.0885023296087232,0.0879541016661534,0.000548227942569882,0.619450295821191
12,3065,6,"P009","R08",0.0885023296087232,0.0878444843475296,0.000657845261193682,0.743308412447531
13,1114,1,"P009","R02",0.15675745419538,0.156439300627278,0.00031815356810258,0.202959131822872
13,1114,2,"P042","R07",0.15675745419538,0.156121183918746,0.000636270276634293,0.405894749886187
13,1114,3,"P035","R02",0.15675745419538,0.155801455931498,0.000955998263882457,0.609858248074706
13,1114,4,"P027","R03",0.15675745419538,0.155484133670099,0.00127332052528104,0.812287065911383
13,1114,5,"P001","R06",0.15675745419538,0.155169087093739,0.00158836710164162,1.01326416009659
13,1114,6,"P004","R05",0.15675745419538,0.15485280784813,0.0019046463472501,1.21502760875165
14,2636,1,"P002","R08",0.0297813317392361,0.0297669837639116,1.43479753244753e-05,0.0481777492360164
14,2636,2,"P016","R08",0.0297813317392361,0.0297525908626658,2.87408765702636e-05,0.0965063510991293
14,2636,3,"P010","R09",0.0297813317392361,0.0297381031030791,4.32286361570118e-05,0.145153469077608
14,2636,4,"P030","R02",0.0297813317392361,0.0297235545310763,5.77772081597656e-05,0.194004783485373
14,2636,5,"P019","R09",0.0297813317392361,0.0297090431441807,7.2288595055401e-05,0.242731237435439
14,2636,6,"P006","R02",0.0297813317392361,0.0296944710913978,8.68606478382911e-05,0.291661395799351
15,3240,1,"P039","R02",0.0901014276258155,0.0899790697998799,0.000122357825935629,0.135800096801764
15,3240,2,"P006","R09",0.0901014276258155,0.0898571572808657,0.000244270344949782,0.271105965117687
15,3240,3,"P031","R09",0.0901014276258155,0.0897351162063489,0.000366311419466581,0.406554512085918
15,3240,4,"P030","R09",0.0901014276258155,0.0896128241266545,0.000488603499160967,0.542281639742825
15,3240,5,"P036","R09",0.0901014276258155,0.0894901040326409,0.000611323593174576,0.678483803512367
15,3240,6,"P013","R01",0.0901014276258155,0.0893694996286404,0.000731927997175072,0.812337846870434
16,2017,1,"P027","R09",0.109500109249575,0.109341819311542,0.000158289938033296,0.144556876808696
16,2017,2,"P035","R07",0.109500109249575,0.109183073764984,0.000317035484591568,0.28952983404699
16,2017,3,"P003","R03",0.109500109249575,0.109024760783699,0.000475348465876047,0.434107754899697
16,2017,4,"P034","R05",0.109500109249575,0.10886662423737,0.000633485012204865,0.578524548099774
16,2017,5,"P036","R09",0.109500109249575,0.108708131036247,0.000791978213328021,0.723267053115832
16,2017,6,"P002","R02",0.109500109249575,0.108549403841767,0.000950705407808339,0.868223250482306
17,1164,1,"P006","R09",0.0136947543887064,0.0136922835282782,2.47086042822614e-06,0.0180423858515037
17,1164,2,"P010","R06",0.0136947543887064,0.0136898243382668,4.93005043956246e-06,0.0359995535489714
17,1164,3,"P016","R02",0.0136947543887064,0.0136873440412485,7.41034745789515e-06,0.0541108460039723
17,1164,4,"P015","R09",0.0136947543887064,0.0136848676023861,9.88678632029595e-06,0.072193965949833
17,1164,5,"P029","R02",0.0136947543887064,0.0136823824547421,1.23719339643023e-05,0.0903406779935029
17,1164,6,"P028","R05",0.0136947543887064,0.0136799175085638,1.48368801426157e-05,0.108339877601976
18,1729,1,"P033","R09",0.0109759592026269,0.0109745108049939,1.44839763306995e-06,0.0131960916247146
18,1729,2,"P008","R05",0.0109759592026269,0.0109730626222817,2.89658034524284e-06,0.0263902251435992
18,1729,3,"P030","R01",0.0109759592026269,0.0109716150763741,4.34412625283792e-06,0.0395785568499399
18,1729,4,"P040","R03",0.0109759592026269,0.0109701666807582,5.79252186872284e-06,0.0527746300964427
18,1729,5,"P042","R05",0.0109759592026269,0.0109687182926863,7.2409099406319e-06,0.0659706346111316
18,1729,6,"P029","R09",0.0109759592026269,0.0109672696876634,8.68951496357101e-06,0.079168615727829
19,1135,1,"P041","R05",0.23729456964321,0.236344767376449,0.000949802266761585,0.400262959320848
19,1135,2,"P030","R02",0.23729456964321,0.235394579372025,0.0018999902711854,0.80068847510593
19,1135,3,"P002","R02",0.23729456964321,0.234444206457644,0.00285036318556611,1.20119191511708
19,1135,4,"P038","R08",0.23729456964321,0.233494643817186,0.0037999258260244,1.60135389180539
19,1135,5,"P031","R09",0.23729456964321,0.232544746493463,0.00474982314974673,2.00165690975922
19,1135,6,"P025","R01",0.23729456964321,0.231595340563151,0.00569922908005882,2.40175284610517
20,455,1,"P020","R04",0.285592442545581,0.284762195402238,0.000830247143342733,0.290710473968591
20,455,2,"P017","R08",0.285592442545581,0.283935110825091,0.0016573317204896,0.580313577529309
20,455,3,"P032","R01",0.285592442545581,0.283108626812417,0.00248381573316347,0.869706393847259
20,455,4,"P039","R08",0.285592442545581,0.282280905036967,0.0033115375086139,1.15953261196167
20,455,5,"P034","R01",0.285592442545581,0.281453893718504,0.00413854882707632,1.44911006404373
20,455,6,"P006","R08",0.285592442545581,0.280625262137233,0.00496718040834765,1.73925485004908
21,535,1,"P020","R08",0.113986764284506,0.113826594146398,0.000160170138107554,0.140516435494017
21,535,2,"P016","R07",0.113986764284506,0.113666239391459,0.000320524893046431,0.281194834381311
21,535,3,"P040","R02",0.113986764284506,0.113505880010667,0.000480884273838411,0.421877291505658
21,535,4,"P007","R04",0.113986764284506,0.113345609406259,0.000641154878246245,0.562481865566384
21,535,5,"P030","R03",0.113986764284506,0.113185335169325,0.000801429115180816,0.70308962642407
21,535,6,"P009","R02",0.113986764284506,0.113024950574523,0.000961813709982912,0.843794203669357
22,86,1,"P029","R01",0.000327657273027358,0.000327655844192272,1.42883508535063e-09,0.000436076108474274
22,86,2,"P001","R06",0.000327657273027358,0.000327654414367396,2.85865996174119e-09,0.000872454298153945
22,86,3,"P013","R07",0.000327657273027358,0.000327652982666151,4.29036120660423e-09,0.00130940514976636
22,86,4,"P006","R01",0.000327657273027358,0.000327651553331656,5.71969570155057e-09,0.00174563367652547
22,86,5,"P002","R02",0.000327657273027358,0.000327650121630368,7.15139698913118e-09,0.00218258454117516
22,86,6,"P041","R01",0.000327657273027358,0.000327648691805585,8.58122177217193e-09,0.00261896270236475
23,2327,1,"P039","R02",0.00225447167077066,0.00225439629103528,7.53797353789804e-08,0.00334356542848963
23,2327,2,"P031","R07",0.00225447167077066,0.0022543209114836,1.50759287052913e-07,0.00668712270850483
23,2327,3,"P038","R06",0.00225447167077066,0.00225424644332429,2.25227446372465e-07,0.00999025400463223
23,2327,4,"P017","R05",0.00225447167077066,0.0022541716942356,2.99976535054688e-07,0.0133058462851363
23,2327,5,"P022","R04",0.00225447167077066,0.00225409670183448,3.7496893617742e-07,0.0166322310028958
23,2327,6,"P001","R08",0.00225447167077066,0.00225402257218071,4.4909858994439e-07,0.01992034744845
24,1538,1,"P006","R07",0.00120318792234305,0.00120317097401639,1.69483266628922e-08,0.00140861841680454
24,1538,2,"P029","R07",0.00120318792234305,0.00120315401951807,3.39028249820694e-08,0.00281774977561676
24,1538,3,"P009","R06",0.00120318792234305,0.00120313709715584,5.08251872131851e-08,0.00422421022264
24,1538,4,"P042","R01",0.00120318792234305,0.00120312018861664,6.77337264091363e-08,0.00562952180214988
24,1538,5,"P032","R04",0.00120318792234305,0.00120310325299123,8.46693518196523e-08,0.00703708458565389
24,1538,6,"P036","R07",0.00120318792234305,0.0012030862924689,1.01629874157353e-07,0.00844671661592497
25,1684,1,"P038","R05",0.0108757328588343,0.0108742437695482,1.48908928613786e-06,0.0136918523603518
25,1684,2,"P023","R03",0.0108757328588343,0.0108727496072892,2.98325154508491e-06,0.0274303496031684
25,1684,3,"P021","R09",0.0108757328588343,0.0108712556942905,4.47716454382401e-06,0.0411665549525448
25,1684,4,"P003","R06",0.0108757328588343,0.0108697724926518,5.96036618249335e-06,0.0548042716739935
25,1684,5,"P004","R02",0.0108757328588343,0.0108682708153476,7.46204348676775e-06,0.0686118681253407
25,1684,6,"P013","R02",0.0108757328588343,0.0108667652127511,8.96764608322893e-06,0.0824555567852564
26,2753,1,"P027","R01",0.084153374509939,0.0840709586297115,8.24158802274211e-05,0.0979353242901594
26,2753,2,"P033","R01",0.084153374509939,0.0839884264672705,0.000164948042668436,0.196008827487904
26,2753,3,"P009","R05",0.084153374509939,0.0839057262690215,0.000247648240917456,0.294282008724685
26,2753,4,"P013","R04",0.084153374509939,0.0838229416573614,0.000330432852577528,0.392655498964575
26,2753,5,"P023","R08",0.084153374509939,0.0837404243794541,0.000412950130484854,0.490711314774528
26,2753,6,"P010","R01",0.084153374509939,0.083657830167845,0.000495544342093965,0.58885855140062
27,4223,1,"P012","R06",0.0236850361291959,0.0236796937438714,5.34238532445483e-06,0.0225559517634403
27,4223,2,"P033","R09",0.0236850361291959,0.0236743457039977,1.06904251982037e-05,0.0451357774583504
27,4223,3,"P010","R04",0.0236850361291959,0.0236689978082884,1.60383209075049e-05,0.0677149944801431
27,4223,4,"P022","R05",0.0236850361291959,0.0236636526053159,2.13835238799809e-05,0.0902828425649814
27,4223,5,"P006","R09",0.0236850361291959,0.0236583020564536,2.67340727423161e-05,0.112873261397992
27,4223,6,"P013","R03",0.0236850361291959,0.0236529540879559,3.20820412399343e-05,0.135452785737522
28,486,1,"P005","R02",0.044598927049788,0.0445722272842417,2.66997655463119e-05,0.0598663853874906
28,486,2,"P006","R07",0.044598927049788,0.0445455291119273,5.33979378607302e-05,0.119729198420221
28,486,3,"P020","R09",0.044598927049788,0.0445188520376294,8.00750121586064e-05,0.179544705345074
28,486,4,"P035","R02",0.044598927049788,0.044492143782808,0.000106783266980021,0.239430125439594
28,486,5,"P019","R01",0.044598927049788,0.0444655134621534,0.000133413587634641,0.299140801045964
28,486,6,"P011","R06",0.044598927049788,0.0444388599199097,0.000160067129878309,0.35890354424809
29,1550,1,"P010","R09",0.00157057797406027,0.00157054160609195,3.63679683239131e-08,0.00231557865477346
29,1550,2,"P018","R03",0.00157057797406027,0.00157050523607527,7.27379850038855e-08,0.0046312877300732
29,1550,3,"P027","R01",0.00157057797406027,0.00157046941959482,1.08554465450082e-07,0.00691175269505695
29,1550,4,"P004","R04",0.00157057797406027,0.00157043305149102,1.44922569253079e-07,0.0092273399758959
29,1550,5,"P036","R07",0.00157057797406027,0.00157039650315082,1.8147090945133e-07,0.0115544030572509
29,1550,6,"P014","R03",0.00157057797406027,0.00157036004146881,2.17932591458758e-07,0.0138759485398459
30,4203,1,"P020","R09",0.236182728142324,0.235247000754673,0.000935727387650381,0.396187898670775
30,4203,2,"P026","R05",0.236182728142324,0.234306492395944,0.00187623574637963,0.794400065210953
30,4203,3,"P032","R04",0.236182728142324,0.233362902683616,0.00281982545870835,1.19391687990373
30,4203,4,"P015","R02",0.236182728142324,0.23240880127523,0.00377392686709435,1.59788435707296
30,4203,5,"P002","R03",0.236182728142324,0.231478592871069,0.00470413527125485,1.99173551269174
30,4203,6,"P005","R09",0.236182728142324,0.230533726387484,0.00564900175484026,2.39179291359365
31,2476,1,"P039","R08",0.0334841142567458,0.0334697194295053,1.43948272404298e-05,0.042990019476265
31,2476,2,"P020","R06",0.0334841142567458,0.0334552939995781,2.88202571677026e-05,0.0860714335959969
31,2476,3,"P040","R03",0.0334841142567458,0.0334408125406478,4.33017160979335e-05,0.129320177818978
31,2476,4,"P018","R06",0.0334841142567458,0.0334263579773649,5.7756279380837e-05,0.172488598437993
31,2476,5,"P025","R06",0.0334841142567458,0.0334118786259971,7.22356307486932e-05,0.21573104844528
31,2476,6,"P014","R06",0.0334841142567458,0.0333973790361337,8.67352206120886e-05,0.2590339405338
32,3563,1,"P011","R03",0.127266458603747,0.127071217586974,0.000195241016772707,0.153411212125108
32,3563,2,"P026","R07",0.127266458603747,0.126873337171711,0.000393121432036042,0.308896339498259
32,3563,3,"P037","R03",0.127266458603747,0.126677841184233,0.000588617419514298,0.462507895616864
32,3563,4,"P029","R07",0.127266458603747,0.126479991843995,0.000786466759751608,0.617968605695494
32,3563,5,"P022","R08",0.127266458603747,0.126287428932316,0.000979029671430764,0.769275488743693
32,3563,6,"P005","R04",0.127266458603747,0.126090303916465,0.00117615468728155,0.924167058772013
33,4374,1,"P005","R09",0.019146883028483,0.019141004679741,5.87834874195975e-06,0.0307013352158421
33,4374,2,"P012","R07",0.019146883028483,0.0191351113414507,1.1771687032272e-05,0.0614809575781104
33,4374,3,"P019","R06",0.019146883028483,0.0191292540354752,1.76289930077754e-05,0.0920723910077188
33,4374,4,"P038","R07",0.019146883028483,0.019123352514348,2.35305141350201e-05,0.12289475054512
33,4374,5,"P013","R04",0.019146883028483,0.0191174755057417,2.94075227412552e-05,0.153589086523945
33,4374,6,"P041","R09",0.019146883028483,0.0191115901937112,3.52928347717683e-05,0.184326789479345
34,2815,1,"P039","R05",0.0105602900927389,0.0105590171558903,1.27293684859357e-06,0.0120539950836087
34,2815,2,"P021","R09",0.0105602900927389,0.0105577407474959,2.54934524304001e-06,0.0241408637513935
34,2815,3,"P025","R01",0.0105602900927389,0.0105564817417205,3.80835101848435e-06,0.0360629394177619
34,2815,4,"P002","R02",0.0105602900927389,0.0105551992111331,5.09088160581019e-06,0.0482077818043141
34,2815,5,"P006","R02",0.0105602900927389,0.0105539142658469,6.37582689200743e-06,0.0603754900293064
34,2815,6,"P028","R08",0.0105602900927389,0.0105526499689545,7.6401237844529e-06,0.0723476695939074
35,3972,1,"P019","R01",0.0836058169893588,0.0835128194764222,9.29975129365657e-05,0.11123330443431
35,3972,2,"P010","R04",0.0836058169893588,0.0834182269951425,0.000187589994216322,0.224374332996708
35,3972,3,"P008","R06",0.0836058169893588,0.0833242427878706,0.000281574201488208,0.336787811695024
35,3972,4,"P015","R05",0.0836058169893588,0.0832297982663139,0.000376018723044907,0.449751867256756
35,3972,5,"P023","R09",0.0836058169893588,0.0831352947737873,0.000470522215571478,0.562786457348255
35,3972,6,"P033","R01",0.0836058169893588,0.0830417826840096,0.000564034305349223,0.674635241494037
36,1833,1,"P012","R08",0.335561496242983,0.334393023995747,0.00116847224723599,0.348214041336222
36,1833,2,"P006","R07",0.335561496242983,0.333201705301244,0.00235979094173849,0.70323650602325
36,1833,3,"P039","R01",0.335561496242983,0.332043393772781,0.00351810247020162,1.04842257219348
36,1833,4,"P035","R06",0.335561496242983,0.330871937811085,0.004689558431898,1.39752578421639
36,1833,5,"P038","R05",0.335561496242983,0.329697565908139,0.00586393033484384,1.74749796996903
36,1833,6,"P042","R03",0.335561496242983,0.328525123657649,0.00703637258533368,2.09689510391222
37,3943,1,"P033","R03",0.161127260388668,0.160843003829026,0.000284256559641705,0.176417422449824
37,3943,2,"P012","R01",0.161127260388668,0.160558831732734,0.000568428655933345,0.352782424626468
37,3943,3,"P007","R03",0.161127260388668,0.160274566860426,0.000852693528241633,0.529205006145319
37,3943,4,"P023","R09",0.161127260388668,0.159990314747812,0.0011369456408559,0.705619668647863
37,3943,5,"P005","R09",0.161127260388668,0.159706038558929,0.00142122182973839,0.882049273543253
37,3943,6,"P039","R06",0.161127260388668,0.159421831508533,0.0017054288801345,1.05843596919646
38,3307,1,"P019","R01",0.0245766796839978,0.024567299009901,9.38067409679555e-06,0.0381690049974629
38,3307,2,"P032","R05",0.0245766796839978,0.0245577573980943,1.89222859034617e-05,0.0769928491023231
38,3307,3,"P003","R04",0.0245766796839978,0.0245482014675344,2.84782164634047e-05,0.115874954752115
38,3307,4,"P008","R05",0.0245766796839978,0.0245386504841942,3.80291998035576e-05,0.154736930669764
38,3307,5,"P002","R09",0.0245766796839978,0.0245290974515519,4.7582232445921e-05,0.193607244988844
38,3307,6,"P041","R08",0.0245766796839978,0.0245196583723328,5.70213116649829e-05,0.232013894464801
39,758,1,"P034","R02",0.314657178541516,0.313383619095309,0.00127355944620677,0.404745079107973
39,758,2,"P022","R08",0.314657178541516,0.312111485751237,0.00254569279027911,0.809036934125827
39,758,3,"P032","R07",0.314657178541516,0.31083801169973,0.00381916684178579,1.21375487426927
39,758,4,"P024","R08",0.314657178541516,0.30956572487829,0.00509145366322533,1.6180955053449
39,758,5,"P030","R09",0.314657178541516,0.30829300505036,0.00636417349115548,2.02257374856483
39,758,6,"P042","R06",0.314657178541516,0.307020865134417,0.00763631340709836,2.42686769216385
40,1154,1,"P018","R02",0.0506730609098586,0.0506369051897675,3.61557200910523e-05,0.0713509692168962
40,1154,2,"P034","R05",0.0506730609098586,0.0506007919552847,7.22689545738994e-05,0.14261809584082
40,1154,3,"P035","R07",0.0506730609098586,0.0505646373791878,0.000108423530670816,0.213966807459468
40,1154,4,"P015","R07",0.0506730609098586,0.0505284688699263,0.000144592039932306,0.285343015274958
40,1154,5,"P022","R02",0.0506730609098586,0.0504923035397683,0.000180757370090295,0.356712949335825
40,1154,6,"P024","R08",0.0506730609098586,0.0504562228453008,0.000216838064557801,0.427915860349407
41,2100,1,"P028","R08",0.344423386796508,0.342810343438611,0.00161304335789758,0.468331541856244
41,2100,2,"P017","R04",0.344423386796508,0.341211647513816,0.00321173928269192,0.932497445241566
41,2100,3,"P025","R08",0.344423386796508,0.339591966087947,0.00483142070856091,1.40275628594739
41,2100,4,"P040","R04",0.344423386796508,0.337919710628719,0.00650367616778919,1.88827948888142
41,2100,5,"P035","R07",0.344423386796508,0.336285220053703,0.00813816674280504,2.36283802284693
41,2100,6,"P032","R05",0.344423386796508,0.334649651920116,0.00977373487639255,2.8377094155244
42,4290,1,"P007","R01",0.376605099667957,0.374940359019808,0.00166474064814903,0.44203879597403
42,4290,2,"P027","R09",0.376605099667957,0.373253392569838,0.00335170709811883,0.889979211931528
42,4290,3,"P014","R03",0.376605099667957,0.371581917836555,0.00502318183140138,1.3338061103873
42,4290,4,"P020","R03",0.376605099667957,0.369889252882631,0.00671584678532583,1.78325965082444
42,4290,5,"P030","R09",0.376605099667957,0.36821017832109,0.0083949213468672,2.22910453264409
42,4290,6,"P034","R01",0.376605099667957,0.366539951639733,0.0100651480282241,2.67260003571334
43,768,1,"P018","R07",0.28237531036936,0.281382379138575,0.000992931230784977,0.351635286203378
43,768,2,"P027","R09",0.28237531036936,0.280396345175105,0.00197896519425578,0.700827983745178
43,768,3,"P013","R03",0.28237531036936,0.279405789787923,0.00296952058143723,1.05162189199649
43,768,4,"P008","R09",0.28237531036936,0.278421106786028,0.0039542035833327,1.40033616188342
43,768,5,"P003","R02",0.28237531036936,0.277432720524638,0.00494258984472223,1.7503618989412
43,768,6,"P012","R06",0.28237531036936,0.276454700798557,0.00592060957080293,2.09671644559097
44,1656,1,"P012","R04",0.000190262439532178,0.000190261983717197,4.55814980920323e-10,0.000239571710549434
44,1656,2,"P037","R06",0.000190262439532178,0.000190261529782048,9.09750129857211e-10,0.000478155400558368
44,1656,3,"P025","R01",0.000190262439532178,0.000190261078105318,1.36142686043401e-09,0.000715552088883919
44,1656,4,"P008","R03",0.000190262439532178,0.000190260622290971,1.81724120709606e-09,0.000955123466073668
44,1656,5,"P019","R01",0.000190262439532178,0.000190260169431658,2.27010052024205e-09,0.00119314170775053
44,1656,6,"P021","R03",0.000190262439532178,0.000190259712793812,2.72673836607768e-09,0.00143314590771686
45,2858,1,"P014","R03",0.125152755179313,0.124925628182261,0.000227126997051338,0.181479821779331
45,2858,2,"P041","R09",0.125152755179313,0.124698197446271,0.000454557733041885,0.36320233812721
45,2858,3,"P018","R06",0.125152755179313,0.124471523613415,0.000681231565897708,0.544320071037728
45,2858,4,"P013","R01",0.125152755179313,0.12424657062094,0.000906184558372908,0.724062811940954
45,2858,5,"P017","R07",0.125152755179313,0.124018457983907,0.00113429719540589,0.906330183287399
45,2858,6,"P011","R05",0.125152755179313,0.123791751286769,0.00136100389254322,1.08747417553313
46,418,1,"P038","R08",0.0224343078115894,0.0224280988758883,6.20893570113523e-06,0.027676074311184
46,418,2,"P035","R07",0.0224343078115894,0.0224218893829293,1.24184286600902e-05,0.0553546325760714
46,418,3,"P042","R01",0.0224343078115894,0.022415680561028,1.86272505614433e-05,0.0830301996294293
46,418,4,"P022","R08",0.0224343078115894,0.0224094715181025,2.48362934868809e-05,0.11070675188851
46,418,5,"P008","R05",0.0224343078115894,0.0224032623628396,3.10454487497912e-05,0.138383804887233
46,418,6,"P011","R03",0.0224343078115894,0.0223970530979809,3.72547136085546e-05,0.166061346404943
47,3206,1,"P007","R05",0.0688382133775449,0.0687781061091646,6.01072683802245e-05,0.0873167176064909
47,3206,2,"P040","R05",0.0688382133775449,0.0687178238172946,0.000120389560250261,0.174887688601071
47,3206,3,"P038","R05",0.0688382133775449,0.0686574484041283,0.000180764973416556,0.262593935181243
47,3206,4,"P021","R05",0.0688382133775449,0.0685969932201563,0.000241220157388561,0.350416063336192
47,3206,5,"P006","R03",0.0688382133775449,0.0685367538902327,0.000301459487312208,0.437924624305466
47,3206,6,"P017","R01",0.0688382133775449,0.0684771443499225,0.000361069027622396,0.524518301545835
