"id_proposal","mean_overall_grade","raw_rank_overall","rank_pm_overall","er_overall","pcer_overall","qualifies_original","mean_criterion_average","raw_rank_criterion","rank_pm_criterion","er_criterion","pcer_criterion","delta_rank_pm","abs_delta_rank_pm","delta_er","abs_delta_er","rank_pm_changed"
"P027",3,32.5,28,23.59188,54.9806666666667,FALSE,3.625,18.5,17,19.47982,45.1900476190476,-11,11,-4.11206,4.11206,TRUE
"P009",4,10,9,18.576795,43.0399880952381,FALSE,4.125,9,8,14.96907,34.4501666666667,-1,1,-3.607725,3.607725,TRUE
"P004",3,32.5,32,24.187815,56.3995595238095,FALSE,3,34.5,36,27.70357,64.7704047619048,4,4,3.515755,3.515755,TRUE
"P034",4,10,7,18.48697,42.826119047619,FALSE,4.125,9,9,15.23019,35.071880952381,2,2,-3.25678,3.25678,TRUE
"P012",4,10,13,18.90756,43.8275238095238,FALSE,4.125,9,10,15.73854,36.2822380952381,-3,3,-3.16902,3.16902,TRUE
"P039",3.5,21.5,16,21.03277,48.8875476190476,FALSE,3.75,16.5,14,17.89533,41.4174523809524,-2,2,-3.13744,3.13744,TRUE
"P030",3.5,21.5,17,21.147555,49.1608452380952,FALSE,3.25,29,27,23.94605,55.8239285714286,10,10,2.798495,2.798495,TRUE
"P025",3,32.5,30,24.11157,56.2180238095238,FALSE,3,34.5,32,26.769245,62.5458214285714,2,2,2.657675,2.657675,TRUE
"P026",3,32.5,37,24.68449,57.582119047619,FALSE,3.125,31.5,33,27.15049,63.4535476190476,-4,4,2.466,2.466,TRUE
"P013",2.5,39.5,38,26.48936,61.8794285714286,FALSE,3.25,29,29,24.16348,56.341619047619,-9,9,-2.32588,2.32588,TRUE
"P033",3.5,21.5,27,21.81037,50.7389761904762,FALSE,3.5,22.5,26,23.58478,54.9637619047619,-1,1,1.77441,1.77441,TRUE
"P007",3,32.5,35,24.28193,56.6236428571429,FALSE,3.125,31.5,31,25.97748,60.6606666666667,-4,4,1.69555,1.69555,TRUE
"P036",4,10,15,19.071145,44.2170119047619,FALSE,4,11.5,12,17.56554,40.6322380952381,-3,3,-1.505605,1.505605,TRUE
"P011",3.5,21.5,26,21.59836,50.2341904761905,FALSE,3.75,16.5,19,20.213795,46.9376071428571,-7,7,-1.384565,1.384565,TRUE
"P005",1.5,42,42,31.03529,72.7030714285714,FALSE,2.5,40.5,41,32.328655,75.7825119047619,-1,1,1.293365,1.293365,TRUE
"P014",3.5,21.5,23,21.349665,49.6420595238095,FALSE,3.625,18.5,18,20.117315,46.7078928571429,-5,5,-1.23235,1.23235,TRUE
"P002",3.5,21.5,21,21.359385,49.6652023809524,FALSE,3.5,22.5,24,22.555025,52.5119642857143,3,3,1.19564,1.19564,TRUE
"P008",2.5,39.5,40,27.09459,63.3204523809524,FALSE,3.25,29,30,25.922915,60.53075,-10,10,-1.171675,1.171675,TRUE
"P024",3.5,21.5,18,21.2171,49.3264285714286,FALSE,3.5,22.5,23,22.31368,51.9373333333333,5,5,1.09658,1.09658,TRUE
"P035",4,10,12,18.83633,43.6579285714286,FALSE,3.875,14,13,17.78419,41.1528333333333,1,1,-1.05214,1.05214,TRUE
"P023",4.5,3,3,15.87305,36.6025,TRUE,4,11.5,11,16.804245,38.819630952381,8,8,0.931195000000002,0.931195000000002,TRUE
"P015",2.5,39.5,39,26.63548,62.2273333333333,FALSE,3,34.5,35,27.535975,64.371369047619,-4,4,0.900494999999999,0.900494999999999,TRUE
"P010",3,32.5,33,24.188375,56.4008928571429,FALSE,3.375,26.5,25,23.46713,54.6836428571429,-8,8,-0.721245,0.721245,TRUE
"P018",3.5,21.5,24,21.45853,49.9012619047619,FALSE,3.5,22.5,22,21.97987,51.1425476190476,-2,2,0.521339999999999,0.521339999999999,TRUE
"P017",4,10,14,18.94728,43.9220952380952,FALSE,3.875,14,16,18.5032,42.8647619047619,2,2,-0.44408,0.44408,TRUE
"P028",4,10,5,18.38988,42.5949523809524,FALSE,3.875,14,15,18.005545,41.679869047619,10,10,-0.384335,0.384335,TRUE
"P031",3.5,21.5,25,21.526115,50.0621785714286,FALSE,3.5,22.5,21,21.893425,50.9367261904762,-4,4,0.36731,0.36731,TRUE
"P037",3.5,21.5,22,21.35989,49.6664047619048,FALSE,3.5,22.5,20,21.6487,50.3540476190476,-2,2,0.288810000000002,0.288810000000002,TRUE
"P006",3,32.5,31,24.13848,56.2820952380952,FALSE,3.375,26.5,28,23.990055,55.9287023809524,-3,3,-0.148425,0.148425,TRUE
