"id_proposal","raw_mean","raw_rank","rank_pm_v0","er_v0","pcer_v0","qualifies_original","rank_pm_v1","er_v1","pcer_v1","delta_rank_pm","delta_er","abs_delta_rank_pm","abs_delta_er","rank_pm_changed"
"P019",2.5,39.5,41,28.12426,65.7720476190476,FALSE,41,27.237455,63.6606071428571,0,-0.886804999999999,0,0.886804999999999,FALSE
"P008",2.5,39.5,40,27.76836,64.9246666666667,FALSE,40,27.09459,63.3204523809524,0,-0.673770000000001,0,0.673770000000001,FALSE
"P039",3.5,21.5,16,20.384435,47.3438928571429,FALSE,16,21.03277,48.8875476190476,0,0.648335,0,0.648335,FALSE
"P013",2.5,39.5,38,25.95185,60.5996428571429,FALSE,38,26.48936,61.8794285714286,0,0.537510000000001,0,0.537510000000001,FALSE
"P028",4,10,5,17.94198,41.5285238095238,FALSE,5,18.38988,42.5949523809524,0,0.447900000000001,0,0.447900000000001,FALSE
"P024",3.5,21.5,18,20.839125,48.4264880952381,FALSE,18,21.2171,49.3264285714286,0,0.377974999999999,0,0.377974999999999,FALSE
"P015",2.5,39.5,39,26.264375,61.34375,FALSE,39,26.63548,62.2273333333333,0,0.371105,0,0.371105,FALSE
"P001",3,32.5,29,23.492575,54.7442261904762,FALSE,29,23.85245,55.6010714285714,0,0.359875000000002,0,0.359875000000002,FALSE
"P041",4.5,3,4,16.503935,38.1046071428571,TRUE,4,16.21879,37.4256904761905,0,-0.285145,0,0.285145,FALSE
"P042",3,32.5,36,24.571395,57.3128452380952,FALSE,36,24.294145,56.6527261904762,0,-0.277249999999999,0,0.277249999999999,FALSE
"P005",1.5,42,42,31.1624,73.0057142857143,FALSE,42,31.03529,72.7030714285714,0,-0.127110000000002,0,0.127110000000002,FALSE
"P025",3,32.5,30,24.021225,56.0029166666667,FALSE,30,24.11157,56.2180238095238,0,0.0903449999999992,0,0.0903449999999992,FALSE
"P018",3.5,21.5,24,21.54479,50.1066428571429,FALSE,24,21.45853,49.9012619047619,0,-0.0862599999999993,0,0.0862599999999993,FALSE
